Std,"Clear and Easy 
to Interpret","Fun and Enjoyable 
to Use","Close and Connected 
to Chat Partner","Understanding State 
of Chat Partner"
HeartBubbles,0.621581561,1.12815215,1.831955405,1.850470866
HeartLight,1.356801051,1.56427929,1.505042031,1.443375673
HeartButton,1.311372171,1.658312395,1.164500153,1.443375673
