,"Clear and Easy 
to Interpret","Fun and Enjoyable 
to Use","Close and Connected 
to Chat Partner","Understanding State 
of Chat Partner"
HeartBubbles,6,6,4,4.5
HeartLight,5,5,3.5,4
HeartButton,7,4,4,4
